Image_Area_Code;Image_Country_Code;Label_Light_labels;Label_Area_code;Label_code;Light_values_sum;NN_polygon;fid,N,20,0;zipfile.x,C,254;ADM1NAME,C,254;URBAN_RURA,C,254;ALT_DEM,N,24,15;LATNUM,N,24,15;LONGNUM,N,24,15;Corrected Latitude;Corrected Longitude;Estimated_dislocation_km;Town_community;Cluster_Code;cluster,N,24,15;DATUM,C,254;id,C,254;zipfile.y,C,254;dhs_phase,C,254;country,C,254;v025,N,24,15;v000,C,254;region,C,254;surveynum,N,24,15;year_mean,N,24,15;education,N,24,15;time2water,N,24,15;time2wat_1,N,24,15;electricit,N,24,15;radio_f,N,24,15;tv_f,N,24,15;refridgera,N,24,15;bicycle_f,N,24,15;motorcycle,N,24,15;car_f,N,24,15;V005_sum,N,24,15;V201_mean,N,24,15;v190_mean,N,24,15;v190_min,N,24,15;v190_max,N,24,15;v190_sd,N,24,15;v191_mean,N,24,15;v191_min,N,24,15;v191_max,N,24,15;v191_sd,N,24,15;chborn_mea,N,24,15;chdied_mea,N,24,15;poorest_me,N,24,15;poorer_mea,N,24,15;middle_mea,N,24,15;richer_mea,N,24,15;richest_me,N,24,15;houshold_i,N,10,0;gini2a,N,24,15;meiEA,N,24,15;dhs_point;Light_values_sum_log10_1_plus_value
TZA_Rectangle;TZA_Rectangle;Medium_light;TZA_rectangle;1;1.3718622;POLYGON ((35.90459091606988 -4.697790180389157, 35.92472939828887 -4.697790180389157, 35.92472939828887 -4.717825068919577, 35.90459091606988 -4.717825068919577, 35.90459091606988 -4.697790180389157));45842;TZGE7AFL;Dodoma;R;1236;-4.726384;35.912846;-4.714814;35.916963;1;Pahi;TZ001;1;WGS84;TZ_7_2_1;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;1;176.1111111;140.2576993;0.05555555556;0.1111111111;0;0;0.3888888889;0.05555555556;0;29606544;4.444444444;2.111111111;1;4;0.8323523638;-70584.94444;-107417;-13674;22541.63744;4.444444444;0.5555555556;0.2222222222;0.5;0.2222222222;0.05555555556;0;18;0.07273003749;157932.0556;POINT (35.916963 -4.714814);0.37508945386675
TZA_Rectangle;TZA_Rectangle;No_light;TZA_rectangle;0;0.37458152;POLYGON ((35.8240369871939 -4.337162186841594, 35.8441754694129 -4.337162186841594, 35.8441754694129 -4.357197075372015, 35.8240369871939 -4.357197075372015, 35.8240369871939 -4.337162186841594));45843;TZGE7AFL;Dodoma;R;1235;-4.364093;35.852918;-4.355985;35.830682;2.59;Darajani;TZ002;2;WGS84;TZ_7_2_2;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;2;200.3125;116.7970997;0;0.5625;0;0;0.6875;0.125;0;26691760;3.75;2.625;1;4;0.8850612032;-64517.375;-119558;-17870;27127.9972;3.75;0.25;0.125;0.25;0.5;0.125;0;16;0.08739458817;163999.625;POINT (35.830682 -4.355985);0.138170500917451
TZA_Rectangle;TZA_Rectangle;Bright_light;TZA_rectangle;2;11.754258;POLYGON ((35.76362154053692 -4.898139065693359, 35.78376002275591 -4.898139065693359, 35.78376002275591 -4.918173954223779, 35.76362154053692 -4.918173954223779, 35.76362154053692 -4.898139065693359));45844;TZGE7AFL;Dodoma;U;1408;-4.903511;35.770286;-4.906523;35.780774;1.15;Kondoa;TZ003;3;WGS84;TZ_7_2_3;TZIR7BFL;7;TZ;1;TZ7;Dodoma;2;2015;2;0;0;0.2962962963;0.3333333333;0.1481481481;0.03703703704;0.1481481481;0.2962962963;0.03703703704;35475273;2.518518519;3.962962963;1;5;0.9798540504;43874.33333;-115019;199375;78917.87748;2.518518519;0.1851851852;0.03703703704;0.03703703704;0.1481481481;0.4814814815;0.2962962963;27;0.1603284273;272391.3333;POINT (35.780774 -4.906523);1.10565519788277
TZA_Rectangle;TZA_Rectangle;Medium_light;TZA_rectangle;1;1.0070511;POLYGON ((35.8038985049749 -4.597615737737057, 35.8240369871939 -4.597615737737057, 35.8240369871939 -4.617650626267476, 35.8038985049749 -4.617650626267476, 35.8038985049749 -4.597615737737057));45845;TZGE7AFL;Dodoma;R;1577;-4.616079;35.799732;-4.600914;35.808422;1.95;Masange;TZ004;4;WGS84;TZ_7_2_4;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;2;35;25.6580072;0;0.3157894737;0.1052631579;0;0.2105263158;0.1052631579;0;28510070;2.894736842;3.210526316;2;4;0.8549819601;-21353.47368;-84024;56466;47204.44747;2.894736842;0.2105263158;0;0.2631578947;0.2631578947;0.4736842105;0;19;0.1238643585;207163.5263;POINT (35.808422 -4.600914);0.302558429869404
TZA_Rectangle;TZA_Rectangle;No_light;TZA_rectangle;0;0.16175891;POLYGON ((36.14625270269782 -6.70127903343117, 36.16639118491681 -6.70127903343117, 36.16639118491681 -6.721313921961592, 36.14625270269782 -6.721313921961592, 36.14625270269782 -6.70127903343117));45846;TZGE7AFL;Dodoma;R;861;-6.692595;36.160461;-6.709608;36.165118;2.57;Kinyika;TZ005;5;WGS84;TZ_7_2_5;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;2;50;29.88868236;0;0.5625;0;0;0.4375;0;0;20650880;3.5625;2.125;1;4;1.087811258;-71336.0625;-120172;-12380;32652.32022;3.5625;0.625;0.4375;0.0625;0.4375;0.0625;0;16;0.1149166516;157180.9375;POINT (36.165118 -6.709608);0.065116011944102
TZA_Rectangle;TZA_Rectangle;No_light;TZA_rectangle;0;0.4053986;POLYGON ((36.18652966713581 -6.480895259596549, 36.2066681493548 -6.480895259596549, 36.2066681493548 -6.500930148126969, 36.18652966713581 -6.500930148126969, 36.18652966713581 -6.480895259596549));45847;TZGE7AFL;Dodoma;R;888;-6.498862;36.189566;-6.500371;36.200756;1.24;Chitemo;TZ006;6;WGS84;TZ_7_2_6;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;1;61.53846154;43.17525407;0;0.3076923077;0;0;0.2307692308;0.07692307692;0;20487844;3.846153846;1.461538462;1;4;0.967417922;-91460.30769;-128659;-14557;29138.60824;3.846153846;0.2307692308;0.7692307692;0.07692307692;0.07692307692;0.07692307692;0;13;0.1001365953;137056.6923;POINT (36.200756 -6.500371);0.147799516575202
TZA_Rectangle;TZA_Rectangle;No_light;TZA_rectangle;0;0.17560503;POLYGON ((36.38791448932576 -5.679499718379743, 36.40805297154475 -5.679499718379743, 36.40805297154475 -5.699534606910165, 36.38791448932576 -5.699534606910165, 36.38791448932576 -5.679499718379743));45848;TZGE7AFL;Dodoma;R;1438;-5.67122;36.401884;-5.687362;36.404229;1.78;Zoissa-Kinangali;TZ007;7;WGS84;TZ_7_2_7;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;2;14.10526316;14.63213639;0;0.2105263158;0;0;0.3684210526;0.05263157895;0;31074006;2.842105263;2.421052632;2;4;0.768533197;-62317.10526;-87447;-9947;22087.86929;2.842105263;0.3157894737;0;0.7368421053;0.1052631579;0.1578947368;0;19;0.06257851699;166199.8947;POINT (36.404229 -5.687362);0.070261435597726
TZA_Rectangle;TZA_Rectangle;No_light;TZA_rectangle;0;0.1857877;POLYGON ((36.66985324039169 -6.360685928414028, 36.68999172261068 -6.360685928414028, 36.68999172261068 -6.380720816944448, 36.66985324039169 -6.380720816944448, 36.66985324039169 -6.360685928414028));45849;TZGE7AFL;Dodoma;R;996;-6.354236;36.678791;-6.378231;36.677177;2.56;Mseta A;TZ008;8;WGS84;TZ_7_2_8;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;2;8.266666667;8.379112352;0.1333333333;0.4666666667;0.1333333333;0;0.2666666667;0;0;27589695;2.533333333;3;1;5;0.9258200998;-37392.33333;-104052;102668;57698.00951;2.533333333;0.4;0.06666666667;0.1333333333;0.6;0.1333333333;0.06666666667;15;0.1360855567;191124.6667;POINT (36.677177 -6.378231);0.074006941160039
TZA_Rectangle;TZA_Rectangle;No_light;TZA_rectangle;0;0.04808739;POLYGON ((35.90459091606988 -5.459115944545122, 35.92472939828887 -5.459115944545122, 35.92472939828887 -5.479150833075542, 35.90459091606988 -5.479150833075542, 35.90459091606988 -5.459115944545122));45850;TZGE7AFL;Dodoma;R;1133;-5.461963;35.912592;-5.467149;35.914854;0.6;Kwahemu;TZ009;9;WGS84;TZ_7_2_9;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;1;36.81818182;32.57857634;0;0.3636363636;0;0;0.5454545455;0.09090909091;0;15461380;4.090909091;2.090909091;1;4;1.044465936;-76102.63636;-118741;-14810;29632.22115;4.090909091;0.6363636364;0.3636363636;0.2727272727;0.2727272727;0.09090909091;0;11;0.1015212011;152414.3636;POINT (35.914854 -5.467149);0.020397495827537
TZA_Rectangle;TZA_Rectangle;No_light;TZA_rectangle;0;0.29172236;POLYGON ((36.14625270269782 -6.220441708701088, 36.16639118491681 -6.220441708701088, 36.16639118491681 -6.240476597231508, 36.14625270269782 -6.240476597231508, 36.14625270269782 -6.220441708701088));45851;TZGE7AFL;Dodoma;R;892;-6.243803;36.220815;-6.23651;36.166117;5.81;Ikowa;TZ010;10;WGS84;TZ_7_2_10;TZIR7BFL;7;TZ;2;TZ7;Dodoma;2;2015;1;73.46153846;83.57592894;0;0.2857142857;0;0;0.2142857143;0;0;32461744;3.785714286;1.571428571;1;4;1.089409559;-89421.28571;-127382;-3284;36759.93433;3.785714286;0.5;0.7142857143;0.1428571429;0;0.1428571429;0;14;0.127570356;139095.7143;POINT (36.166117 -6.23651);0.111169177376277
